City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
640,Bartlesville,US,89.98,clear sky,36.7473,-95.9808,Hilton Garden Inn Bartlesville
645,Kilis,TR,75.43,clear sky,36.7161,37.115,Otel Kilis Mer-tur Otel Ve Mado Cafe
647,La Crosse,US,79.36,clear sky,43.8014,-91.2396,Holiday Inn & Suites La Crosse - Downtown
651,Mazatlan,MX,79.02,overcast clouds,23.2167,-106.4167,Hotel La Siesta
652,Ryotsu,JP,76.64,broken clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
656,Tangwani,PK,87.87,overcast clouds,28.2787,68.9972,Malik Hafeez Markeet
663,Prainha,BR,75.31,scattered clouds,-1.8,-53.48,Casa Rocha
666,Sur,OM,86.41,broken clouds,22.5667,59.5289,Sur Plaza Hotel
669,Lorengau,PG,84.52,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
670,La Asuncion,VE,80.33,clear sky,11.0333,-63.8628,Colinas de Matasiete
671,Basco,PH,85.44,broken clouds,20.4487,121.9702,Nathaniel's Lodge
677,Morehead,US,80.85,clear sky,37.2711,-87.1764,CCI Express Inn
679,Xinzhi,CN,79.75,clear sky,36.4989,111.7047,Mingyue Hotel
680,Antiguo Morelos,MX,84.13,few clouds,22.5495,-99.0812,Iglesia La luz del mundo columna y apoyo de la verdad. Batallón antiguo morelos
681,Shwebo,MM,84.02,overcast clouds,22.5667,95.7,MOON SHINE Guest House
683,Nouakchott,MR,80.53,moderate rain,18.0858,-15.9785,HOTEL IMAN
689,Kapit,MY,89.2,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
696,Kalmunai,LK,82.53,broken clouds,7.4167,81.8167,VS Villa
702,Aden,YE,81.45,few clouds,12.7794,45.0367,Sama Emirate Hotel
705,Bugko,PH,87.3,overcast clouds,12.5356,124.7923,Sangkay Beach Resort
707,Dingle,PH,86.68,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
709,Pangai,TO,75.63,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
711,Machhlishahr,IN,88.2,overcast clouds,25.6833,82.4167,Dulhan pelece
713,Kadiri,IN,76.17,overcast clouds,14.1167,78.1667,Chandra's Lodge
