City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
52,Hit,33.6416,42.8251,85.95,20,0,9.78,clear sky,IQ,2022-07-23 02:41:41
53,Dhidhdhoo,6.8833,73.1,81.52,79,100,17.22,overcast clouds,MV,2022-07-23 02:41:41
54,Severo-Kurilsk,50.6789,156.125,56.23,87,84,6.82,broken clouds,RU,2022-07-23 02:41:42
55,Salinopolis,-0.6136,-47.3561,78.4,85,63,9.24,broken clouds,BR,2022-07-23 02:41:42
56,Morondava,-20.2833,44.2833,68.94,71,68,5.3,broken clouds,MG,2022-07-23 02:41:43
57,Ilulissat,69.2167,-51.1,51.82,87,100,4.61,drizzle,GL,2022-07-23 02:41:43
58,Venice,27.0998,-82.4543,80.98,100,100,6.91,overcast clouds,US,2022-07-23 02:41:44
59,Busselton,-33.65,115.3333,59.9,83,100,27.31,light rain,AU,2022-07-23 02:41:44
60,Xinglongshan,43.9561,125.4661,78.55,73,75,2.24,broken clouds,CN,2022-07-23 02:41:45
61,Hilo,19.7297,-155.09,83.28,79,75,8.05,broken clouds,US,2022-07-23 02:41:45
62,Butaritari,3.0707,172.7902,82.22,76,74,8.99,broken clouds,KI,2022-07-23 02:41:45
63,Coihaique,-45.5752,-72.0662,19.35,93,75,0.0,broken clouds,CL,2022-07-23 02:41:46
64,Shar,49.5886,81.0453,75.51,36,13,6.82,few clouds,KZ,2022-07-23 02:41:46
65,Aguas Belas,-9.1114,-37.1231,65.61,98,100,3.31,overcast clouds,BR,2022-07-23 02:41:47
66,Bambous Virieux,-20.3428,57.7575,68.25,88,40,9.22,scattered clouds,MU,2022-07-23 02:41:47
67,Grand-Lahou,5.1367,-5.0242,74.03,77,72,7.23,broken clouds,CI,2022-07-23 02:41:48
68,Roald,62.5833,6.1333,56.34,87,100,19.57,overcast clouds,NO,2022-07-23 02:41:48
69,Port Lincoln,-34.7333,135.8667,60.94,68,9,4.12,clear sky,AU,2022-07-23 02:41:49
70,Fairhope,30.523,-87.9033,82.67,75,0,3.0,clear sky,US,2022-07-23 02:41:49
71,Moranbah,-22.0016,148.0466,69.53,51,0,15.05,clear sky,AU,2022-07-23 02:37:39
72,Lompoc,34.6391,-120.4579,61.61,80,100,27.0,mist,US,2022-07-23 02:41:50
73,Rocha,-34.4833,-54.3333,50.83,98,30,4.76,scattered clouds,UY,2022-07-23 02:41:50
74,Pangody,65.85,74.4859,52.34,64,95,4.99,overcast clouds,RU,2022-07-23 02:41:51
75,Kindu,-2.95,25.95,69.49,89,76,2.21,broken clouds,CD,2022-07-23 02:41:51
76,Tadine,-21.55,167.8833,74.01,91,100,17.96,overcast clouds,NC,2022-07-23 02:41:51
77,Russell,32.3502,-85.1999,75.96,94,0,0.0,clear sky,US,2022-07-23 02:41:52
78,Mahebourg,-20.4081,57.7,68.29,88,40,9.22,scattered clouds,MU,2022-07-23 02:41:52
79,Madimba,-10.4,40.3333,67.78,89,3,8.52,clear sky,TZ,2022-07-23 02:37:01
80,Tulungagung,-8.0657,111.9025,79.83,75,92,9.1,overcast clouds,ID,2022-07-23 02:41:53
81,Arlit,18.7369,7.3853,88.59,42,74,10.83,broken clouds,NE,2022-07-23 02:41:53
82,Nikolskoye,59.7035,30.7861,68.81,78,9,5.61,clear sky,RU,2022-07-23 02:41:54
83,Upington,-28.4478,21.2561,57.58,44,0,8.05,clear sky,ZA,2022-07-23 02:41:54
84,Nelson Bay,-32.7167,152.15,65.08,69,2,8.01,clear sky,AU,2022-07-23 02:41:55
85,Reconquista,-29.15,-59.65,64.85,86,19,9.35,few clouds,AR,2022-07-23 02:41:55
86,Laurel,39.0993,-76.8483,85.68,75,0,3.44,clear sky,US,2022-07-23 02:37:53
87,Havre,49.5833,0.3333,64.2,94,100,10.36,overcast clouds,FR,2022-07-23 02:41:56
88,Rehoboth,-23.3167,17.0833,53.22,42,0,5.77,clear sky,NA,2022-07-23 02:41:56
89,Sibolga,1.7427,98.7792,86.36,60,72,1.74,broken clouds,ID,2022-07-23 02:41:56
90,Olafsvik,64.8945,-23.7142,52.99,80,11,4.85,few clouds,IS,2022-07-23 02:41:57
91,Kapaa,22.0752,-159.319,85.98,68,40,16.11,scattered clouds,US,2022-07-23 02:42:57
